Home,Away,XG_Home,XG_Away
Current,Thorns,2.3,1.4
Louisville,Pride,0.9,1.1
Royals,Red Stars,2.2,1.2
Courage,Dash,3.2,0.2
Reign,Spirit,1.6,0
Angel City,Bay FC,1.9,1
Red Stars,Reign,0.7,0.9
Royals,Courage,0.3,2.8
Spirit,Bay FC,2.1,0.8
Pride,Angel City,0.7,1.8
Thorns,Gotham FC,1.2,0.7
Wave,Current,1.5,1.7
Dash,Louisville,0.9,2
Pride,Red Stars,1.9,0.9
Current,Angel City,2.5,1.2
Thorns,Louisville,2,1.4
Wave,Reign,0.9,0.5
Courage,Gotham FC,0.8,1.4
Spirit,Royals,3.1,1.2
Bay FC,Dash,1.1,2.4
Dash,Spirit,0.6,2.3
Courage,Thorns,0.4,1.1
Louisville,Wave,1.1,1
Royals,Pride,0.1,1.8
Gotham FC,Current,1.3,1.3
Red Stars,Angel City,0.9,1
Bay FC,Reign,1.8,1
Spirit,Gotham FC,1.9,0.6
Louisville,Royals,3.9,0.6
Current,Bay FC,1.7,1.4
Pride,Wave,3.7,0.2
Reign,Red Stars,1.1,1.6
Angel City,Courage,0.4,2.3
Thorns,Dash,3.6,0.4
Spirit,Pride,1.8,1.5
Royals,Dash,0.9,0.5
Red Stars,Thorns,1.6,1.7
Courage,Reign,2,1.3
Angel City,Current,1,3
Gotham FC,Louisville,1.6,1.8
Wave,Bay FC,1.4,1.8
Pride,Courage,2.1,0.6
Red Stars,Spirit,0.9,1
Bay FC,Thorns,1.9,1.4
Reign,Wave,1.7,1.6
Gotham FC,Courage,1,0.8
Royals,Angel City,0.9,1.4
Dash,Current,0.8,2.5
Pride,Louisville,1.3,1
Thorns,Spirit,1.5,2.2
Bay FC,Red Stars,1,1.8
Reign,Current,0.2,1.2
Wave,Royals,2.4,0.7
Dash,Gotham FC,0.2,2.4
Pride,Bay FC,2,1
Louisville,Spirit,1.4,0.9
Red Stars,Royals,2.6,1.1
Angel City,Dash,0.9,1.1
Wave,Gotham FC,1.4,1.6
Current,Courage,2.9,0.3
Thorns,Reign,1.4,0.8
Dash,Thorns,1.1,2.8
Bay FC,Wave,0.4,1.5
Spirit,Angel City,2.7,1.4
Courage,Royals,3.1,0.2
Reign,Pride,1.6,1.4
Gotham FC,Red Stars,1.9,1.2
Current,Louisville,2,0.5
Pride,Thorns,2.4,2.5
Angel City,Wave,1.1,1.9
Spirit,Reign,2.2,1
Red Stars,Louisville,1.4,2.1
Bay FC,Gotham FC,0.8,2.1
Dash,Courage,1.7,1
Royals,Current,0.3,3.9
Gotham FC,Angel City,1.9,0.5
Royals,Spirit,0.8,1.4
Red Stars,Bay FC,1.2,3.2
Wave,Pride,1,0.6
Louisville,Dash,1.3,1.5
Current,Reign,2.9,1.9
Thorns,Courage,1.4,0.4
Louisville,Gotham FC,0.4,1.2
Current,Red Stars,2.2,0.3
Spirit,Wave,1.5,1
Courage,Pride,1,2
Reign,Thorns,0.5,0.7
Dash,Angel City,0.7,2
Bay FC,Royals,0.8,0.8
Gotham FC,Wave,0.9,0.3
Angel City,Louisville,1.5,2
Dash,Wave,0.6,0.5
Pride,Royals,3.9,0.4
Thorns,Current,0.7,2.2
Reign,Louisville,2,0.7
Gotham FC,Spirit,1.2,1.6
Courage,Red Stars,1.2,0.7
Bay FC,Angel City,1.1,1.2
Louisville,Bay FC,0.5,1.2
Wave,Red Stars,2.1,1.7
Current,Dash,3.1,0.3
Spirit,Courage,1.3,0.4
Gotham FC,Reign,1.1,0.7
Angel City,Pride,1.2,2.4
Royals,Thorns,1.8,0.9
Red Stars,Dash,0.9,0.8
Current,Pride,1.4,2.1
Thorns,Wave,2.4,1
Reign,Royals,2.4,1.6
Courage,Louisville,1.9,0.8
Angel City,Gotham FC,1.6,2.6
Bay FC,Spirit,1.4,2.4
Wave,Angel City,0.9,2.7
Gotham FC,Thorns,1,0.4
Dash,Pride,1.3,2.6
Louisville,Red Stars,2,0.6
Royals,Bay FC,0.8,1.4
Spirit,Current,0.6,0.9
Reign,Courage,2.1,0.4
Thorns,Bay FC,1.1,2.3
Louisville,Reign,2,1
Angel City,Red Stars,1.4,1.3
Courage,Current,1.4,2.2
Pride,Gotham FC,0.8,0.8
Dash,Royals,1.7,3.4
Wave,Spirit,0.6,2.1
Spirit,Thorns,3.3,1.8
Current,Royals,1.8,1.2
Angel City,Reign,1.3,2.4
Gotham FC,Dash,1.6,0.6
Red Stars,Pride,0.1,1.3
Bay FC,Louisville,1.5,1.1
Wave,Courage,1.4,2.1
Courage,Bay FC,0.7,2.1
Thorns,Red Stars,0.8,1.9
Louisville,Angel City,0.5,1.2
Pride,Current,0.7,1
Spirit,Dash,2.2,0.8
Royals,Wave,1.1,1.5
Reign,Gotham FC,0.3,1.1
Current,Spirit,1,0.6
Louisville,Courage,2.6,1.2
Bay FC,Pride,1,1.3
Gotham FC,Royals,0.7,0.7
Dash,Reign,0.8,1.3
Red Stars,Wave,1.3,3.4
Angel City,Thorns,1.6,1.6
Current,Gotham FC,2.6,1.1
Royals,Louisville,2.1,1.1
Angel City,Spirit,1.7,1.7
Pride,Dash,3.2,1.2
Reign,Bay FC,0.6,2.1
Red Stars,Courage,1.2,1
Wave,Thorns,1.7,1
Courage,Wave,2.1,2.5
Reign,Angel City,0.6,1.2
Dash,Red Stars,3,1.8
Gotham FC,Bay FC,4,1.6
Louisville,Current,0.6,1.4
Pride,Spirit,1.5,1
Thorns,Royals,2,1.7
Red Stars,Gotham FC,0.2,2.2
Thorns,Pride,1.3,0.5
Courage,Angel City,1.6,1
Royals,Reign,2.5,0.1
Spirit,Louisville,3.4,1.4
Bay FC,Current,0.8,1.3
Wave,Dash,1.1,1.5
Current,Wave,2.5,0.8
Reign,Dash,1.6,1.5
Louisville,Thorns,0.9,1
Angel City,Royals,1.2,1.4
Spirit,Red Stars,2.5,0.6
Gotham FC,Pride,2,1.9
Bay FC,Courage,1.7,0.7
Pride,Reign,2.9,1.4
Thorns,Angel City,1.5,0.9
Royals,Gotham FC,1.1,3.4
Courage,Spirit,0.4,0.7
Red Stars,Current,1.3,1.9
Wave,Louisville,1.8,1.8
Dash,Bay FC,1.1,2.1
Current,Courage,1.7,1.4
Pride,Red Stars,4.9,1.2
Spirit,Bay FC,1.7,1.5
Gotham FC,Thorns,0.8,0.7
Spirit,Gotham FC,2,0.8
Pride,Current,2.4,2.6
Pride,Spirit,0.4,1.8
Current,Thorns,1.9,1.2
Royals,Bay FC,1,0.8
Dash,Spirit,1,1.4
Pride,Chicago Stars,2.1,1.1
Angel City,Wave,0.7,1.3
Reign,Gotham FC,0.7,1.4
Louisville,Courage,1.7,1.2
Thorns,Angel City,1.7,0.5
Courage,Reign,1.3,1.1
Spirit,Current,1.2,3.1
Chicago Stars,Dash,1.1,2.2
Gotham FC,Pride,1.1,1
Wave,Royals,2.2,1.1
Bay FC,Louisville,0.9,1.4
Pride,Wave,1.8,0.3
Current,Royals,3.1,0.2
Dash,Gotham FC,0.1,0.4
Spirit,Bay FC,1.1,1.3
Chicago Stars,Louisville,0.9,1.8
Thorns,Courage,1.7,2.2
Angel City,Reign,1.4,1.5
Dash,Angel City,1.8,1.6
Reign,Pride,1.3,1.5
Louisville,Spirit,0.9,0.6
Royals,Thorns,0.8,2.4
Bay FC,Chicago Stars,1.7,1.5
Gotham FC,Courage,2.4,0.7
Wave,Current,0.6,1.1
Louisville,Wave,1.4,0.7
Pride,Spirit,1.6,1.4
Current,Dash,1.6,0.6
Reign,Thorns,1.1,1.2
Courage,Bay FC,0.3,0.5
Royals,Chicago Stars,1,0.5
Angel City,Gotham FC,0.5,1.3
Thorns,Gotham FC,2.1,0.7
Spirit,Gotham FC,2.6,1.9
Chicago Stars,Wave,0.7,0.9
Dash,Royals,1,1
Courage,Current,1.2,1.1
Pride,Angel City,1.3,0.8
Thorns,Louisville,2.3,2.9
Bay FC,Reign,0.6,1.1
Thorns,Pride,1.6,1
Dash,Louisville,1,0.8
Reign,Current,0.3,0.7
Spirit,Angel City,2.4,2.3
Gotham FC,Chicago Stars,1.2,0.2
Royals,Courage,0.6,2.9
Wave,Bay FC,1.9,0.8
Chicago Stars,Spirit,2.1,1.5
Courage,Pride,1,2
Angel City,Royals,1.8,1
Louisville,Gotham FC,0.7,1
Current,Bay FC,2.5,0.7
Wave,Thorns,0.6,2.7
Reign,Dash,0.6,1
Louisville,Reign,1.1,0.6
Gotham FC,Wave,0.5,0.3
Courage,Chicago Stars,1.4,0.9
Dash,Thorns,1,1.6
Spirit,Royals,3.9,0.7
Pride,Current,1.4,1
Bay FC,Angel City,1.3,1.1
Chicago Stars,Current,0.1,1.9
Reign,Spirit,0.7,2.3
Royals,Pride,0.7,3.8
Angel City,Louisville,1.6,1.5
Dash,Bay FC,0.8,2.2
Wave,Courage,1.6,1.8
Louisville,Royals,1.9,1.1
Gotham FC,Current,0.9,1.9
Bay FC,Thorns,0.9,1.1
Pride,Dash,1.4,0.6
Wave,Reign,0.9,0.6
Spirit,Courage,1.5,2.6
Angel City,Chicago Stars,1.5,0.5
Chicago Stars,Reign,1,1.1
Current,Louisville,2.1,1.1
Bay FC,Pride,1.7,0.4
Dash,Wave,0.8,1.9
Royals,Gotham FC,0.6,1.6
Thorns,Spirit,1.5,1.2
Angel City,Courage,1.4,2.9
Royals,Reign,1.8,2.2
Current,Angel City,2.1,0.8
Gotham FC,Bay FC,0.9,2.8
Courage,Dash,2.1,0.5
Louisville,Pride,2.5,0.9
Thorns,Chicago Stars,0.9,0.3
Wave,Spirit,0.8,0.8
Chicago Stars,Gotham FC,1.3,1.4
Reign,Angel City,0.8,0.4
Courage,Wave,0.2,1.1
Louisville,Current,0.4,1.8
Spirit,Thorns,2,1.3
Pride,Royals,1.8,0.4
Bay FC,Dash,3.6,1.7
Gotham FC,Spirit,0.3,1.1
Dash,Courage,1,1.7
Pride,Louisville,2.8,0.8
Royals,Current,0.6,1.1
Thorns,Reign,4.5,1
Chicago Stars,Bay FC,1,1.5
Wave,Angel City,1,1.1
Royals,Angel City,1.1,0.4
Spirit,Louisville,1,1.2
Current,Thorns,2.3,1.4
Louisville,Pride,0.9,1.1
Royals,Red Stars,2.2,1.2
Courage,Dash,3.2,0.2
Reign,Spirit,1.6,0
Angel City,Bay FC,1.9,1
Red Stars,Reign,0.7,0.9
Royals,Courage,0.3,2.8
Spirit,Bay FC,2.1,0.8
Pride,Angel City,0.7,1.8
Thorns,Gotham FC,1.2,0.7
Wave,Current,1.5,1.7
Dash,Louisville,0.9,2
Pride,Red Stars,1.9,0.9
Current,Angel City,2.5,1.2
Thorns,Louisville,2,1.4
Wave,Reign,0.9,0.5
Courage,Gotham FC,0.8,1.4
Spirit,Royals,3.1,1.2
Bay FC,Dash,1.1,2.4
Dash,Spirit,0.6,2.3
Courage,Thorns,0.4,1.1
Louisville,Wave,1.1,1
Royals,Pride,0.1,1.8
Gotham FC,Current,1.3,1.3
Red Stars,Angel City,0.9,1
Bay FC,Reign,1.8,1
Spirit,Gotham FC,1.9,0.6
Louisville,Royals,3.9,0.6
Current,Bay FC,1.7,1.4
Pride,Wave,3.7,0.2
Reign,Red Stars,1.1,1.6
Angel City,Courage,0.4,2.3
Thorns,Dash,3.6,0.4
Spirit,Pride,1.8,1.5
Royals,Dash,0.9,0.5
Red Stars,Thorns,1.6,1.7
Courage,Reign,2,1.3
Angel City,Current,1,3
Gotham FC,Louisville,1.6,1.8
Wave,Bay FC,1.4,1.8
Pride,Courage,2.1,0.6
Red Stars,Spirit,0.9,1
Bay FC,Thorns,1.9,1.4
Reign,Wave,1.7,1.6
Gotham FC,Courage,1,0.8
Royals,Angel City,0.9,1.4
Dash,Current,0.8,2.5
Pride,Louisville,1.3,1
Thorns,Spirit,1.5,2.2
Bay FC,Red Stars,1,1.8
Reign,Current,0.2,1.2
Wave,Royals,2.4,0.7
Dash,Gotham FC,0.2,2.4
Pride,Bay FC,2,1
Louisville,Spirit,1.4,0.9
Red Stars,Royals,2.6,1.1
Angel City,Dash,0.9,1.1
Wave,Gotham FC,1.4,1.6
Current,Courage,2.9,0.3
Thorns,Reign,1.4,0.8
Dash,Thorns,1.1,2.8
Bay FC,Wave,0.4,1.5
Spirit,Angel City,2.7,1.4
Courage,Royals,3.1,0.2
Reign,Pride,1.6,1.4
Gotham FC,Red Stars,1.9,1.2
Current,Louisville,2,0.5
Pride,Thorns,2.4,2.5
Angel City,Wave,1.1,1.9
Spirit,Reign,2.2,1
Red Stars,Louisville,1.4,2.1
Bay FC,Gotham FC,0.8,2.1
Dash,Courage,1.7,1
Royals,Current,0.3,3.9
Gotham FC,Angel City,1.9,0.5
Royals,Spirit,0.8,1.4
Red Stars,Bay FC,1.2,3.2
Wave,Pride,1,0.6
Louisville,Dash,1.3,1.5
Current,Reign,2.9,1.9
Thorns,Courage,1.4,0.4
Louisville,Gotham FC,0.4,1.2
Current,Red Stars,2.2,0.3
Spirit,Wave,1.5,1
Courage,Pride,1,2
Reign,Thorns,0.5,0.7
Dash,Angel City,0.7,2
Bay FC,Royals,0.8,0.8
Gotham FC,Wave,0.9,0.3
Angel City,Louisville,1.5,2
Dash,Wave,0.6,0.5
Pride,Royals,3.9,0.4
Thorns,Current,0.7,2.2
Reign,Louisville,2,0.7
Gotham FC,Spirit,1.2,1.6
Courage,Red Stars,1.2,0.7
Bay FC,Angel City,1.1,1.2
Louisville,Bay FC,0.5,1.2
Wave,Red Stars,2.1,1.7
Current,Dash,3.1,0.3
Spirit,Courage,1.3,0.4
Gotham FC,Reign,1.1,0.7
Angel City,Pride,1.2,2.4
Royals,Thorns,1.8,0.9
Red Stars,Dash,0.9,0.8
Current,Pride,1.4,2.1
Thorns,Wave,2.4,1
Reign,Royals,2.4,1.6
Courage,Louisville,1.9,0.8
Angel City,Gotham FC,1.6,2.6
Bay FC,Spirit,1.4,2.4
Wave,Angel City,0.9,2.7
Gotham FC,Thorns,1,0.4
Dash,Pride,1.3,2.6
Louisville,Red Stars,2,0.6
Royals,Bay FC,0.8,1.4
Spirit,Current,0.6,0.9
Reign,Courage,2.1,0.4
Thorns,Bay FC,1.1,2.3
Louisville,Reign,2,1
Angel City,Red Stars,1.4,1.3
Courage,Current,1.4,2.2
Pride,Gotham FC,0.8,0.8
Dash,Royals,1.7,3.4
Wave,Spirit,0.6,2.1
Spirit,Thorns,3.3,1.8
Current,Royals,1.8,1.2
Angel City,Reign,1.3,2.4
Gotham FC,Dash,1.6,0.6
Red Stars,Pride,0.1,1.3
Bay FC,Louisville,1.5,1.1
Wave,Courage,1.4,2.1
Courage,Bay FC,0.7,2.1
Thorns,Red Stars,0.8,1.9
Louisville,Angel City,0.5,1.2
Pride,Current,0.7,1
Spirit,Dash,2.2,0.8
Royals,Wave,1.1,1.5
Reign,Gotham FC,0.3,1.1
Current,Spirit,1,0.6
Louisville,Courage,2.6,1.2
Bay FC,Pride,1,1.3
Gotham FC,Royals,0.7,0.7
Dash,Reign,0.8,1.3
Red Stars,Wave,1.3,3.4
Angel City,Thorns,1.6,1.6
Current,Gotham FC,2.6,1.1
Royals,Louisville,2.1,1.1
Angel City,Spirit,1.7,1.7
Pride,Dash,3.2,1.2
Reign,Bay FC,0.6,2.1
Red Stars,Courage,1.2,1
Wave,Thorns,1.7,1
Courage,Wave,2.1,2.5
Reign,Angel City,0.6,1.2
Dash,Red Stars,3,1.8
Gotham FC,Bay FC,4,1.6
Louisville,Current,0.6,1.4
Pride,Spirit,1.5,1
Thorns,Royals,2,1.7
Red Stars,Gotham FC,0.2,2.2
Thorns,Pride,1.3,0.5
Courage,Angel City,1.6,1
Royals,Reign,2.5,0.1
Spirit,Louisville,3.4,1.4
Bay FC,Current,0.8,1.3
Wave,Dash,1.1,1.5
Current,Wave,2.5,0.8
Reign,Dash,1.6,1.5
Louisville,Thorns,0.9,1
Angel City,Royals,1.2,1.4
Spirit,Red Stars,2.5,0.6
Gotham FC,Pride,2,1.9
Bay FC,Courage,1.7,0.7
Pride,Reign,2.9,1.4
Thorns,Angel City,1.5,0.9
Royals,Gotham FC,1.1,3.4
Courage,Spirit,0.4,0.7
Red Stars,Current,1.3,1.9
Wave,Louisville,1.8,1.8
Dash,Bay FC,1.1,2.1
Current,Courage,1.7,1.4
Pride,Red Stars,4.9,1.2
Spirit,Bay FC,1.7,1.5
Gotham FC,Thorns,0.8,0.7
Spirit,Gotham FC,2,0.8
Pride,Current,2.4,2.6
Pride,Spirit,0.4,1.8
Current,Thorns,1.9,1.2
Royals,Bay FC,1,0.8
Dash,Spirit,1,1.4
Pride,Chicago Stars,2.1,1.1
Angel City,Wave,0.7,1.3
Reign,Gotham FC,0.7,1.4
Louisville,Courage,1.7,1.2
Thorns,Angel City,1.7,0.5
Courage,Reign,1.3,1.1
Spirit,Current,1.2,3.1
Chicago Stars,Dash,1.1,2.2
Gotham FC,Pride,1.1,1
Wave,Royals,2.2,1.1
Bay FC,Louisville,0.9,1.4
Pride,Wave,1.8,0.3
Current,Royals,3.1,0.2
Dash,Gotham FC,0.1,0.4
Spirit,Bay FC,1.1,1.3
Chicago Stars,Louisville,0.9,1.8
Thorns,Courage,1.7,2.2
Angel City,Reign,1.4,1.5
Dash,Angel City,1.8,1.6
Reign,Pride,1.3,1.5
Louisville,Spirit,0.9,0.6
Royals,Thorns,0.8,2.4
Bay FC,Chicago Stars,1.7,1.5
Gotham FC,Courage,2.4,0.7
Wave,Current,0.6,1.1
Louisville,Wave,1.4,0.7
Pride,Spirit,1.6,1.4
Current,Dash,1.6,0.6
Reign,Thorns,1.1,1.2
Courage,Bay FC,0.3,0.5
Royals,Chicago Stars,1,0.5
Angel City,Gotham FC,0.5,1.3
Thorns,Gotham FC,2.1,0.7
Spirit,Gotham FC,2.6,1.9
Chicago Stars,Wave,0.7,0.9
Dash,Royals,1,1
Courage,Current,1.2,1.1
Pride,Angel City,1.3,0.8
Thorns,Louisville,2.3,2.9
Bay FC,Reign,0.6,1.1
Thorns,Pride,1.6,1
Dash,Louisville,1,0.8
Reign,Current,0.3,0.7
Spirit,Angel City,2.4,2.3
Gotham FC,Chicago Stars,1.2,0.2
Royals,Courage,0.6,2.9
Wave,Bay FC,1.9,0.8
Chicago Stars,Spirit,2.1,1.5
Courage,Pride,1,2
Angel City,Royals,1.8,1
Louisville,Gotham FC,0.7,1
Current,Bay FC,2.5,0.7
Wave,Thorns,0.6,2.7
Reign,Dash,0.6,1
Louisville,Reign,1.1,0.6
Gotham FC,Wave,0.5,0.3
Courage,Chicago Stars,1.4,0.9
Dash,Thorns,1,1.6
Spirit,Royals,3.9,0.7
Pride,Current,1.4,1
Bay FC,Angel City,1.3,1.1
Chicago Stars,Current,0.1,1.9
Reign,Spirit,0.7,2.3
Royals,Pride,0.7,3.8
Angel City,Louisville,1.6,1.5
Dash,Bay FC,0.8,2.2
Wave,Courage,1.6,1.8
Louisville,Royals,1.9,1.1
Gotham FC,Current,0.9,1.9
Bay FC,Thorns,0.9,1.1
Pride,Dash,1.4,0.6
Wave,Reign,0.9,0.6
Spirit,Courage,1.5,2.6
Angel City,Chicago Stars,1.5,0.5
Chicago Stars,Reign,1,1.1
Current,Louisville,2.1,1.1
Bay FC,Pride,1.7,0.4
Dash,Wave,0.8,1.9
Royals,Gotham FC,0.6,1.6
Thorns,Spirit,1.5,1.2
Angel City,Courage,1.4,2.9
Royals,Reign,1.8,2.2
Current,Angel City,2.1,0.8
Gotham FC,Bay FC,0.9,2.8
Courage,Dash,2.1,0.5
Louisville,Pride,2.5,0.9
Thorns,Chicago Stars,0.9,0.3
Wave,Spirit,0.8,0.8
Chicago Stars,Gotham FC,1.3,1.4
Reign,Angel City,0.8,0.4
Courage,Wave,0.2,1.1
Louisville,Current,0.4,1.8
Spirit,Thorns,2,1.3
Pride,Royals,1.8,0.4
Bay FC,Dash,3.6,1.7
Gotham FC,Spirit,0.3,1.1
Dash,Courage,1,1.7
Pride,Louisville,2.8,0.8
Royals,Current,0.6,1.1
Thorns,Reign,4.5,1
Chicago Stars,Bay FC,1,1.5
Wave,Angel City,1,1.1
Royals,Angel City,1.1,0.4
Spirit,Louisville,1,1.2
