NATIONALITY,NAME,POSITION,TEAM,LEAGUE,NHLe SCORE,GP,G,A,PTS,PIM,GPG,APG,PPG,ADJ_PPG,PIMPG,DOB,HEIGHT,WEIGHT,SHOOTS
Sweden,Ivar Stenberg,F,Frölunda HC,SHL,0.78,25,6,18,24,4,0.24,0.72,0.96,0.7488,0.16,9/29/2007,"6'0""",181,L
USA,J.P. Hurlbert,F,Kamloops Blazers,WHL,0.3,33,22,33,55,16,0.666666667,1,1.666666667,0.5,0.484848485,4/10/2008,"6'0""",183,R
Canada,Tynan Lawrence,F,Muskegon Lumberjacks,USHL,0.29,9,8,5,13,6,0.888888889,0.555555556,1.444444444,0.418888889,0.666666667,8/2/2008,"6'0""",185,L
Canada,Caleb Malhotra,F,Brantford Bulldogs,OHL,0.3,32,17,27,44,22,0.53125,0.84375,1.375,0.4125,0.6875,6/1/2008,"6'2""",183,L
Finland,Oscar Hemming,F,Finland U18 (all),International-Jr,0.33,6,5,2,7,4,0.833333333,0.333333333,1.166666667,0.385,0.666666667,8/12/2008,"6'4""",196,L
Sweden,Marcus Nordmark,F,Djurgårdens IF U20,U20 Nationell,0.26,17,7,18,25,38,0.411764706,1.058823529,1.470588235,0.382352941,2.235294118,5/3/2008,"6'2""",187,L
Sweden,Alexander Command,F,Örebro HK U20,U20 Nationell,0.26,18,12,14,26,18,0.666666667,0.777777778,1.444444444,0.375555556,1,6/15/2008,"6'1""",183,L
USA,Nikita Klepov,F,Saginaw Spirit,OHL,0.3,32,19,21,40,21,0.59375,0.65625,1.25,0.375,0.65625,6/26/2008,"6'0""",181,L
Canada,Ryan Lin,D,Vancouver Giants,WHL,0.3,34,9,33,42,20,0.264705882,0.970588235,1.235294118,0.370588235,0.588235294,4/17/2008,"5'11""",176,R
Russia,Lavr Gashilov,F,Avto Yekaterinburg,MHL,0.27,32,11,32,43,16,0.34375,1,1.34375,0.3628125,0.5,9/22/2007,"6'2""",170,L
Czechia,Adam Novotny,F,Peterborough Petes,OHL,0.3,29,19,16,35,6,0.655172414,0.551724138,1.206896552,0.362068966,0.206896552,11/12/2007,"6'1""",205,L
Russia,Yegor Shilov,F,Victoriaville Tigres,QMJHL,0.28,31,15,25,40,21,0.483870968,0.806451613,1.290322581,0.361290323,0.677419355,4/29/2008,"6'1""",181,L
Canada,Ryan Roobroeck,F,Niagara IceDogs,OHL,0.3,32,18,20,38,18,0.5625,0.625,1.1875,0.35625,0.5625,9/24/2007,"6'4""",216,L
Canada,Pierce Mbuyi,F,Owen Sound Attack,OHL,0.3,36,19,23,42,55,0.527777778,0.638888889,1.166666667,0.35,1.527777778,4/16/2008,"5'11""",159,L
USA,Wyatt Cullen,F,U.S. National U18 Team,NTDP,0.35,8,2,6,8,0,0.25,0.75,1,0.35,0,9/7/2008,"6'0""",172,L
Norway,Niklas Aaram-Olsen,F,Örebro HK U20,U20 Nationell,0.26,18,14,10,24,12,0.777777778,0.555555556,1.333333333,0.346666667,0.666666667,4/18/2008,"6'1""",185,L
USA,Chase Reid,D,Soo Greyhounds,OHL,0.3,31,14,21,35,24,0.451612903,0.677419355,1.129032258,0.338709677,0.774193548,12/29/2007,"6'2""",187,R
Sweden,Axel Elofsson,D,Örebro HK U20,U20 Nationell,0.26,20,4,22,26,10,0.2,1.1,1.3,0.338,0.5,6/2/2008,"5'11""",165,R
USA,Landon Hafele,F,Green Bay Gamblers,USHL,0.29,20,7,15,22,31,0.35,0.75,1.1,0.319,1.55,9/17/2007,"6'0""",187,L
Canada,Carson Carels,D,Prince George Cougars,WHL,0.3,28,8,21,29,32,0.285714286,0.75,1.035714286,0.310714286,1.142857143,6/22/2008,"6'2""",194,L
Canada,Ethan Belchetz,F,Windsor Spitfires,OHL,0.3,31,18,14,32,26,0.580645161,0.451612903,1.032258065,0.309677419,0.838709677,3/29/2008,"6'5""",227,L
Canada,Riley Boychuk,F,Prince Albert Raiders,WHL,0.3,32,6,27,33,18,0.1875,0.84375,1.03125,0.309375,0.5625,1/30/2008,"5'10""",165,R
Canada,Noah Kosick,F,Swift Current Broncos,WHL,0.3,32,10,23,33,8,0.3125,0.71875,1.03125,0.309375,0.25,8/17/2008,"5'11""",170,L
Canada,Xavier Villeneuve,D,Blainville-Boisbriand Armada,QMJHL,0.28,30,6,27,33,33,0.2,0.9,1.1,0.308,1.1,9/28/2007,"5'11""",157,L
Russia,Oleg Kulebyakin,F,Halifax Mooseheads,QMJHL,0.28,31,17,17,34,16,0.548387097,0.548387097,1.096774194,0.307096774,0.516129032,1/10/2008,"5'11""",176,L
Sweden,Nils Bartholdsson,F,Rögle BK U20,U20 Nationell,0.26,17,11,9,20,6,0.647058824,0.529411765,1.176470588,0.305882353,0.352941176,4/24/2008,"5'10""",174,R
Canada,Daxon Rudolph,D,Prince Albert Raiders,WHL,0.3,32,14,18,32,30,0.4375,0.5625,1,0.3,0.9375,3/5/2008,"6'2""",203,R
Slovakia,Tomas Chrenko,F,HK Nitra,Slovakia,0.47,27,5,12,17,4,0.185185185,0.444444444,0.62962963,0.295925926,0.148148148,11/1/2007,"5'11""",170,R
Canada,Jordan Duguay,F,Portland Winterhawks,WHL,0.3,33,11,21,32,24,0.333333333,0.636363636,0.96969697,0.290909091,0.727272727,2/15/2008,"5'11""",174,L
Finland,Jasper Kuhta,F,Ottawa 67's,OHL,0.3,32,17,13,30,4,0.53125,0.40625,0.9375,0.28125,0.125,10/27/2006,"6'2""",198,L
Canada,Mathis Preston,F,Spokane Chiefs,WHL,0.3,31,12,17,29,30,0.387096774,0.548387097,0.935483871,0.280645161,0.967741935,7/20/2008,"5'11""",176,R
USA,Evan Jardine,F,Youngstown Phantoms,USHL,0.29,23,9,13,22,10,0.391304348,0.565217391,0.956521739,0.277391304,0.434782609,10/22/2007,"6'0""",179,L
Canada,Cooper Williams,F,Saskatoon Blades,WHL,0.3,32,12,17,29,18,0.375,0.53125,0.90625,0.271875,0.5625,2/17/2008,"6'1""",159,L
Canada,Louis-Francois Belanger,F,Newfoundland Regiment,QMJHL,0.28,30,14,15,29,18,0.466666667,0.5,0.966666667,0.270666667,0.6,11/13/2007,"5'8""",168,L
Canada,Chase Harrington,F,Spokane Chiefs,WHL,0.3,32,11,17,28,52,0.34375,0.53125,0.875,0.2625,1.625,10/29/2007,"6'0""",201,L
Canada,Beckett Hamilton,F,Red Deer Rebels,WHL,0.3,30,10,16,26,4,0.333333333,0.533333333,0.866666667,0.26,0.133333333,3/27/2008,"5'11""",172,R
Sweden,Viggo Bjorck,F,Djurgårdens IF,SHL,0.78,24,4,4,8,6,0.166666667,0.166666667,0.333333333,0.26,0.25,3/11/2008,"5'10""",172,R
USA,A.J. Francisco,D,U.S. National U18 Team,NTDP,0.35,23,2,15,17,6,0.086956522,0.652173913,0.739130435,0.258695652,0.260869565,1/9/2008,"5'11""",174,R
Canada,Ryder Cali,F,North Bay Battalion,OHL,0.3,13,7,4,11,2,0.538461538,0.307692308,0.846153846,0.253846154,0.153846154,9/5/2008,"6'2""",209,L
Canada,Braidy Wassilyn,F,Niagara IceDogs,OHL,0.3,6,2,3,5,4,0.333333333,0.5,0.833333333,0.25,0.666666667,5/27/2008,"5'11""",194,L
USA,Jack Hextall,F,Youngstown Phantoms,USHL,0.29,28,8,16,24,14,0.285714286,0.571428571,0.857142857,0.248571429,0.5,3/22/2008,"6'0""",185,R
USA,Mikey Berchild,F,U.S. National U18 Team,NTDP,0.35,24,6,10,16,8,0.25,0.416666667,0.666666667,0.233333333,0.333333333,2/15/2008,"5'10""",181,L
Canada,Jaxon Cover,F,London Knights,OHL,0.3,34,9,17,26,32,0.264705882,0.5,0.764705882,0.229411765,0.941176471,2/12/2008,"6'1""",185,L
Canada,Alessandro Di Iorio,F,Sarnia Sting,OHL,0.3,17,7,6,13,0,0.411764706,0.352941176,0.764705882,0.229411765,0,3/16/2008,"6'1""",190,R
Canada,Maddox Dagenais,F,Québec Remparts,QMJHL,0.28,30,12,12,24,13,0.4,0.4,0.8,0.224,0.433333333,3/26/2008,"6'4""",196,L
Latvia,Alberts Smits,D,Jukurit,Liiga,0.54,29,6,6,12,12,0.206896552,0.206896552,0.413793103,0.223448276,0.413793103,12/1/2007,"6'3""",205,L
Sweden,Oscar Holmertz,F,Linköping HC U20,U20 Nationell,0.26,20,5,12,17,2,0.25,0.6,0.85,0.221,0.1,3/20/2008,"6'0""",192,L
Russia,Viktor Fyodorov,F,Chaika Nizhny Novgorod,MHL,0.27,11,2,7,9,8,0.181818182,0.636363636,0.818181818,0.220909091,0.727272727,2/20/2008,"5'10""",176,L
Canada,Beckham Edwards,F,Sarnia Sting,OHL,0.3,34,12,13,25,10,0.352941176,0.382352941,0.735294118,0.220588235,0.294117647,1/5/2008,"6'1""",181,L
Canada,Brayden Klimpke,D,Saskatoon Blades,WHL,0.3,34,2,23,25,18,0.058823529,0.676470588,0.735294118,0.220588235,0.529411765,10/7/2007,"6'0""",168,L
Canada,Ryder Carey,F,North Bay Battalion,OHL,0.3,25,8,10,18,20,0.32,0.4,0.72,0.216,0.8,8/1/2008,"6'0""",176,R
Finland,Viljo Kahkonen,F,HIFK U20,U20 SM-sarja,0.27,24,6,13,19,8,0.25,0.541666667,0.791666667,0.21375,0.333333333,2/18/2008,"5'10""",181,R
Sweden,Mans Josbrant,F,Luleå HF U20,U20 Nationell,0.26,21,9,8,17,20,0.428571429,0.380952381,0.80952381,0.21047619,0.952380952,4/22/2008,"5'11""",170,L
Canada,Liam Dube,F,HC Davos U21,Swiss U21-Elit,0.25,32,7,19,26,8,0.21875,0.59375,0.8125,0.203125,0.25,1/3/2008,"5'10""",159,R
Canada,Ryan Brown,F,Sarnia Sting,OHL,0.3,34,6,17,23,27,0.176470588,0.5,0.676470588,0.202941176,0.794117647,10/25/2007,"5'11""",176,L
Canada,Joe Iginla,F,Edmonton Oil Kings,WHL,0.3,32,11,10,21,14,0.34375,0.3125,0.65625,0.196875,0.4375,8/12/2008,"5'10""",174,R
Czechia,Vladimir Dravecky,D,Brantford Bulldogs,OHL,0.3,28,5,13,18,16,0.178571429,0.464285714,0.642857143,0.192857143,0.571428571,12/18/2007,"6'0""",187,R
Russia,Yaroslav Fedoseyev,D,Belye Medvedi Chelyabinsk,MHL,0.27,17,2,10,12,22,0.117647059,0.588235294,0.705882353,0.190588235,1.294117647,11/4/2007,"6'2""",187,R
Sweden,Max Isaksson,F,Växjö Lakers HC U20,U20 Nationell,0.26,18,7,6,13,12,0.388888889,0.333333333,0.722222222,0.187777778,0.666666667,1/27/2008,"6'0""",183,L
Belarus,Roman Laman,F,Omskie Yastreby,MHL,0.27,35,11,13,24,4,0.314285714,0.371428571,0.685714286,0.185142857,0.114285714,1/29/2008,"5'11""",176,L
Finland,Samu Alalauri,D,Pelicans U20,U20 SM-sarja,0.27,25,5,12,17,2,0.2,0.48,0.68,0.1836,0.08,5/30/2008,"6'2""",201,R
Latvia,Rudolfs Berzkalns,F,Muskegon Lumberjacks,USHL,0.29,27,7,9,16,35,0.259259259,0.333333333,0.592592593,0.171851852,1.296296296,3/2/2008,"6'4""",203,L
Sweden,Malte Gustafsson,D,HV71 U20,U20 Nationell,0.26,14,3,6,9,12,0.214285714,0.428571429,0.642857143,0.167142857,0.857142857,6/10/2008,"6'4""",201,L
USA,Landon Amrhein,F,Calgary Hitmen,WHL,0.3,31,5,12,17,4,0.161290323,0.387096774,0.548387097,0.164516129,0.129032258,4/5/2008,"6'4""",192,R
Slovakia,Adam Goljer,D,HK Dukla Trencin,Slovakia,0.47,26,3,6,9,2,0.115384615,0.230769231,0.346153846,0.162692308,0.076923077,6/6/2008,"6'3""",194,R
Canada,Colin Fitzgerald,F,Peterborough Petes,OHL,0.3,24,6,7,13,33,0.25,0.291666667,0.541666667,0.1625,1.375,3/31/2008,"6'2""",207,R
Sweden,Torkel Jennersjo,F,Blainville-Boisbriand Armada,QMJHL,0.28,19,6,5,11,10,0.315789474,0.263157895,0.578947368,0.162105263,0.526315789,10/1/2007,"5'10""",183,L
USA,Myles Brosnan,D,Brookline Whalers 18U AAA,BEAST 18U,0.24,3,1,1,2,0,0.333333333,0.333333333,0.666666667,0.16,0,10/18/2007,"6'1""",194,R
Canada,Giorgos Pantelas,D,Brandon Wheat Kings,WHL,0.3,32,2,15,17,22,0.0625,0.46875,0.53125,0.159375,0.6875,4/23/2008,"6'2""",214,R
USA,Dayne Beuker,F,U.S. National U18 Team,NTDP,0.35,27,5,7,12,14,0.185185185,0.259259259,0.444444444,0.155555556,0.518518519,3/22/2008,"5'10""",168,R
Canada,Benjamin Cossette-Ayotte,D,Val-d'Or Foreurs,QMJHL,0.28,31,1,16,17,12,0.032258065,0.516129032,0.548387097,0.153548387,0.387096774,1/2/2008,"6'1""",187,R
Lithuwania,Simas Ignatavicius,F,Genève-Servette HC,NL,0.65,35,4,4,8,16,0.114285714,0.114285714,0.228571429,0.148571429,0.457142857,10/21/2007,"6'3""",198,R
Latvia,Karlis Flugins,F,KooKoo U20,U20 SM-sarja,0.27,13,5,2,7,2,0.384615385,0.153846154,0.538461538,0.145384615,0.153846154,11/10/2007,"5'11""",185,R
Czechia,Simon Katolicky,F,Tappara U20,U20 SM-sarja,0.27,18,3,6,9,0,0.166666667,0.333333333,0.5,0.135,0,7/23/2008,"6'4""",198,L
Finland,Max Laatikainen,D,Kiekko-Espoo U20,U20 SM-sarja,0.27,22,3,8,11,2,0.136363636,0.363636364,0.5,0.135,0.090909091,9/13/2008,"5'11""",172,R
Canada,Callum Croskery,D,Soo Greyhounds,OHL,0.3,9,1,3,4,8,0.111111111,0.333333333,0.444444444,0.133333333,0.888888889,1/28/2008,"6'1""",176,L
Finland,Oliver Suvanto,F,Tappara,Liiga,0.54,30,2,5,7,10,0.066666667,0.166666667,0.233333333,0.126,0.333333333,9/2/2008,"6'3""",209,L
Sweden,Axel Brøngel-Larsson,D,Frölunda HC U20,U20 Nationell,0.26,21,3,7,10,22,0.142857143,0.333333333,0.476190476,0.123809524,1.047619048,10/31/2007,"6'1""",194,L
Canada,Jet Kwajah,D,Madison Capitols,USHL,0.29,22,1,8,9,8,0.045454545,0.363636364,0.409090909,0.118636364,0.363636364,3/12/2008,"6'0""",170,R
Czechia,Jirí Kamas,D,Penticton Vees,WHL,0.3,20,1,6,7,10,0.05,0.3,0.35,0.105,0.5,3/3/2008,"6'2""",198,R
USA,Luke Schairer,D,U.S. National U18 Team,NTDP,0.35,27,0,8,8,51,0,0.296296296,0.296296296,0.103703704,1.888888889,1/29/2008,"6'3""",201,R
Canada,Caelan Joudrey,F,Wenatchee Wild,WHL,0.3,32,7,3,10,29,0.21875,0.09375,0.3125,0.09375,0.90625,1/16/2008,"6'4""",172,R
Canada,Cameron Chartrand,D,Saint John Sea Dogs,QMJHL,0.28,17,2,3,5,6,0.117647059,0.176470588,0.294117647,0.082352941,0.352941176,3/2/2008,"6'1""",201,R
Sweden,William Hakansson,D,Luleå HF,SHL,0.78,22,0,2,2,8,0,0.090909091,0.090909091,0.070909091,0.363636364,10/7/2007,"6'4""",207,L
Latvia,Martins Klaucans,F,Sherbrooke Phoenix,QMJHL,0.28,26,2,4,6,8,0.076923077,0.153846154,0.230769231,0.064615385,0.307692308,7/7/2008,"6'0""",190,L
Finland,Juho Piiparinen,D,Tappara,Liiga,0.54,26,0,3,3,8,0,0.115384615,0.115384615,0.062307692,0.307692308,8/9/2008,"6'3""",203,R
Canada,Ivan Galiyanov,F,Niagara IceDogs,OHL,0.3,31,1,5,6,29,0.032258065,0.161290323,0.193548387,0.058064516,0.935483871,10/15/2007,"5'10""",174,L
Russia,Arseni Ilyin,F,MHK Spartak Moskva,MHL,0.27,34,3,4,7,6,0.088235294,0.117647059,0.205882353,0.055588235,0.176470588,12/23/2007,"6'2""",170,L
Switzerland,Raphael Achermann,F,Rimouski Océanic,QMJHL,0.28,13,0,2,2,4,0,0.153846154,0.153846154,0.043076923,0.307692308,5/29/2008,"5'11""",172,L
Sweden,Theodor Knights,D,MoDo Hockey U20,U20 Nationell,0.26,13,0,1,1,37,0,0.076923077,0.076923077,0.02,2.846153846,4/15/2008,"6'4""",203,L
Canada,Gavin McKenna,F,Penn State Univ.,NCAA,0.41,16,4,14,18,4,0.25,0.875,1.125,0.46125,0.25,12/19/2007,"6'0""",170,L
Canada,Adam Valentini,F,Univ. of Michigan,NCAA,0.41,20,5,12,17,28,0.25,0.6,0.85,0.3485,1.4,4/10/2008,"5'11""",185,L
Canada,Keaton Verhoeff,D,Univ. of North Dakota,NCAA,0.41,16,4,7,11,21,0.25,0.4375,0.6875,0.281875,1.3125,6/18/2008,"6'4""",212,R
Sweden,Elton Hermansson,F,MoDo Hockey,HockeyAllsvenskan,0.45,18,7,3,10,14,0.388888889,0.166666667,0.555555556,0.25,0.777777778,2/4/2008,"6'1""",181,R
USA,Harrison Boettiger,G,Kelowna Rockets,WHL,0.3,16,-,-,-,-,0,0,0,0,0,12/10/2007,"6'3""",194,-
Russia,Dmitri Borichev,G,Loko-76 Yaroslavl,MHL,0.27,11,-,-,-,-,0,0,0,0,0,6/18/2008,"6'3""",198,-
Canada,Zachary Jovanovski,G,Guelph Storm,OHL,0.3,25,-,-,-,-,0,0,0,0,0,10/6/2007,"6'2""",170,-
Russia,Matvei Karbainov,G,Akademiya SKA St. Petersburg,MHL,0.27,21,-,-,-,-,0,0,0,0,0,11/5/2007,"6'1""",181,-
USA,Brady Knowling,G,U.S. National U18 Team,NTDP,0.35,15,-,-,-,-,0,0,0,0,0,3/8/2008,"6'5""",203,-
USA,Lincoln Kuehne,D,Arizona State Univ.,NCAA,0.41,16,0,0,0,18,0,0,0,0,1.125,11/27/2007,"6'2""",205,R
