SEASON,RANK,TEAM,PLAYOFF,AVG_AGE,GP,W,L,OL,PTS,PTS_PCT,GF,GA,SOW,SOL,SRS,SOS,GFPG,GAPG,PP,PPO,PP_PCT,PPA,PPOA,PK_PCT,SH,SHA,PIMPG,OPIMPG,S,S_PCT,SA,SV_PCT,SO,PDO,CF,CA,CF_PCT,FF,FA,FF_PCT,XGF,XGA,AGF,AGA,AX_DIFF,SCF,SCA,SCF_PCT,HDF,HDA,HDF_PCT,HDGF,HDC_PCT,HDGA,HDCO_PCT
2022_2023,14,Winnipeg Jets,1,28.7,82,46,33,3,95,0.579,246,224,1,1,0.23,-0.04,3,2.73,52,270,19.26,42,239,82.43,7,6,8.5,9.7,2486,9.9,2487,0.91,4,100.5,3687,3440,51.7,2754,2585,51.6,170.9,170.4,158,147,11,1863,1711,52.1,641,566,53.1,58,8.3,64,10.2
2023_2024,30,Anaheim Ducks,0,27.7,82,27,50,5,59,0.36,203,293,1,2,-1.09,0.02,2.48,3.57,43,235,18.3,91,330,72.42,12,5,13.5,10.9,2194,9.3,2666,0.89,1,98.8,3339,3787,46.9,2418,2787,46.5,142.3,173.3,127,174,-16,1556,1793,46.5,520,632,45.1,52,9.1,78,11
2023_2024,27,Arizona Coyotes,0,26.7,82,36,41,5,77,0.47,254,274,2,0,-0.21,0.01,3.1,3.34,53,241,21.99,63,266,76.32,7,7,11.5,9.9,2273,11.2,2598,0.895,7,100.8,3707,3856,49,2636,2878,47.8,160.9,180.1,171,171,19,1763,1817,49.2,618,622,49.8,67,9.8,63,9.2
2023_2024,6,Boston Bruins,1,28.6,82,47,20,15,109,0.665,263,221,4,3,0.53,0.01,3.21,2.7,54,243,22.22,47,268,82.46,7,6,9.5,8.8,2399,11,2504,0.912,5,102.3,3550,3896,47.7,2573,2843,47.5,169.7,163.4,174,135,33,1706,1819,48.4,615,634,49.2,81,11.6,76,10.7
2023_2024,22,Buffalo Sabres,0,25.7,82,39,37,6,84,0.512,244,243,2,1,0.03,0.01,2.98,2.96,37,223,16.59,49,243,79.84,7,10,9.8,9.2,2534,9.6,2402,0.899,5,100.1,3920,3734,51.2,2823,2751,50.6,168,172.8,174,159,20,1794,1867,49,580,698,45.4,57,8.9,63,8.3
2023_2024,25,Calgary Flames,0,29.2,82,38,39,5,81,0.494,253,267,0,4,-0.2,0.02,3.09,3.26,45,252,17.86,47,245,80.82,11,11,9.4,9.2,2572,9.8,2438,0.89,2,99,4122,3851,51.7,2917,2732,51.6,170.3,172.5,167,181,-12,1827,1813,50.2,662,627,51.4,63,8.7,61,8.9
2023_2024,3,Carolina Hurricanes,1,29.4,82,52,23,7,111,0.677,277,211,2,5,0.73,-0.04,3.38,2.57,67,249,26.91,35,258,86.43,11,8,8.5,8,2733,10.1,2101,0.9,8,99.3,4699,3119,60.1,3334,2361,58.5,172.8,151.5,169,146,2,2011,1452,58.1,713,529,57.4,61,7.9,58,9.9
2023_2024,31,Chicago Blackhawks,0,27.4,82,23,53,6,52,0.317,178,289,1,1,-1.29,0.06,2.17,3.52,39,235,16.6,56,231,75.76,3,8,8.7,9.3,2153,8.3,2681,0.892,1,98.1,3384,4257,44.3,2392,3125,43.4,143.8,194,118,202,-34,1483,2074,41.7,503,716,41.3,51,9.2,68,8.7
2023_2024,8,Colorado Avalanche,1,28.8,82,50,25,7,107,0.652,302,252,2,2,0.57,-0.05,3.68,3.07,68,278,24.46,53,264,79.92,7,6,8.9,9.7,2705,11.2,2444,0.897,4,100.4,4194,3690,53.2,2943,2705,52.1,184.5,163.6,196,168,7,1906,1677,53.2,661,609,52,64,8.8,70,10.3
2023_2024,29,Columbus Blue Jackets,0,26.8,82,27,43,12,66,0.402,234,298,3,2,-0.72,0.05,2.85,3.63,32,212,15.09,56,236,76.27,5,6,8.2,7.6,2458,9.5,2822,0.894,1,100.2,3993,4281,48.3,2814,3128,47.4,165.1,195.1,175,196,9,1774,2010,46.9,650,729,47.1,72,10,71,8.9
2023_2024,2,Dallas Stars,1,29.3,82,52,21,9,113,0.689,294,232,4,2,0.74,-0.04,3.59,2.83,58,240,24.17,43,239,82.01,12,4,6.8,7.5,2588,11.4,2350,0.901,4,100.5,4256,3666,53.7,3020,2669,53.1,182.3,151.5,192,160,1,1977,1647,54.6,633,540,54,73,10.3,71,11.6
2023_2024,18,Detroit Red Wings,0,29.3,82,41,32,9,91,0.555,275,273,3,1,0.06,0.02,3.35,3.33,63,273,23.08,49,240,79.58,7,10,8.7,9.9,2375,11.6,2657,0.897,4,100.7,3550,4089,46.5,2534,2983,45.9,150.6,177,177,189,14,1570,1906,45.2,504,668,43,71,12.3,74,10
2023_2024,9,Edmonton Oilers,1,29.4,82,49,27,6,104,0.634,292,236,2,1,0.65,-0.04,3.56,2.88,64,243,26.34,53,258,79.46,7,5,9.5,8.5,2768,10.5,2307,0.898,4,100.2,4303,3431,55.6,3098,2555,54.8,209,158.7,193,153,-10,2106,1687,55.5,765,547,58.3,93,10.8,61,10
2023_2024,5,Florida Panthers,1,29.5,82,52,24,6,110,0.671,265,198,3,2,0.81,-0.02,3.23,2.41,63,268,23.51,51,291,82.47,8,9,13.6,13.5,2764,9.6,2279,0.913,8,100.6,4212,3288,56.2,2895,2490,53.8,166.2,144.8,156,119,16,1889,1550,54.9,673,545,55.3,51,7,57,9.5
2023_2024,12,Los Angeles Kings,1,29.5,82,44,27,11,99,0.604,254,210,2,5,0.45,-0.05,3.1,2.56,56,248,22.58,39,253,84.58,11,7,8.7,9.5,2616,9.7,2296,0.909,7,99.6,4160,3486,54.4,3035,2491,54.9,169.6,146.3,165,143,-1,1843,1593,53.6,645,540,54.4,67,9.4,61,10.1
2023_2024,20,Minnesota Wild,0,29.3,82,39,34,9,87,0.53,248,260,3,3,-0.14,0.01,3.02,3.17,62,273,22.71,67,263,74.52,3,11,11.4,11.3,2471,10,2437,0.893,6,99.9,3710,3662,50.3,2629,2629,50,151.2,149.3,159,163,-6,1656,1577,51.2,541,501,51.9,64,10.6,52,9.4
2023_2024,28,Montreal Canadiens,0,26.7,82,30,36,16,76,0.463,232,281,4,8,-0.59,0.05,2.83,3.43,44,252,17.46,65,277,76.53,7,12,10.2,10,2269,10.2,2738,0.897,2,100.9,3581,4159,46.3,2549,2974,46.2,157.6,174.5,160,164,13,1611,1997,44.7,575,716,44.5,73,11.3,59,7.6
2023_2024,11,Nashville Predators,1,29.5,82,47,30,5,99,0.604,266,248,3,0,0.23,-0.02,3.24,3.02,58,269,21.56,57,247,76.92,7,5,9.7,9.5,2642,10.1,2507,0.901,4,100.4,4052,3765,51.8,2928,2722,51.8,182.3,168.7,168,153,1,1901,1743,52.2,650,601,52,72,10,55,8.4
2023_2024,23,New Jersey Devils,0,26.8,82,38,39,5,81,0.494,264,281,0,2,-0.22,0.01,3.22,3.43,55,245,22.45,47,243,80.66,3,9,9.1,9.6,2516,10.5,2458,0.886,1,99.5,4032,3633,52.6,2837,2748,50.8,177.2,173.8,177,185,-11,1895,1756,51.9,720,642,52.9,69,8.7,77,10.7
2023_2024,15,New York Islanders,1,29.6,82,39,27,16,94,0.573,245,258,1,5,-0.18,0.03,2.99,3.15,47,231,20.35,63,221,71.49,10,3,7.1,7.4,2470,9.9,2686,0.904,5,100.7,3910,4313,47.5,2846,3043,48.3,174.4,177.4,166,158,11,1805,1946,48.1,669,686,49.4,65,8.9,60,8
2023_2024,1,New York Rangers,1,29.1,82,55,23,4,114,0.695,278,226,4,3,0.61,-0.03,3.39,2.76,65,246,26.42,36,232,84.48,8,6,9.4,10.4,2582,10.8,2418,0.907,6,99.9,3959,3874,50.5,2862,2813,50.4,169,167.8,166,165,0,1855,1834,50.3,605,657,47.9,55,8.3,73,10
2023_2024,26,Ottawa Senators,0,27,82,37,41,4,78,0.476,250,281,5,0,-0.28,0.04,3.05,3.43,51,283,18.02,61,245,75.1,7,6,10.4,11.1,2602,9.6,2432,0.884,2,98.6,3977,3827,51,2836,2705,51.2,166.7,163.9,163,192,-32,1782,1767,50.2,670,634,51.4,75,10.1,66,9.4
2023_2024,21,Philadelphia Flyers,0,27.1,82,38,33,11,87,0.53,231,258,4,3,-0.29,0.03,2.82,3.15,31,254,12.2,40,241,83.4,16,4,10.1,9.7,2708,8.5,2225,0.884,5,97.6,4101,3767,52.1,2973,2528,54,177.5,149.8,159,180,-49,1887,1680,52.9,673,589,53.3,66,8.9,70,10.6
2023_2024,19,Pittsburgh Penguins,0,31.3,82,38,32,12,88,0.537,253,248,2,3,0.05,0,3.09,3.02,40,262,15.27,47,243,80.66,5,12,7.4,7.9,2685,9.4,2479,0.9,8,99.8,4190,3919,51.7,2998,2918,50.7,184.6,171.3,179,172,-6,1925,1869,50.7,705,623,53.1,71,9.1,73,10.5
2023_2024,32,San Jose Sharks,0,27.7,82,19,54,9,47,0.287,180,326,1,5,-1.78,0.05,2.2,3.98,42,208,20.19,62,252,75.4,3,8,9.5,8.2,2069,8.7,2881,0.887,2,97.5,3565,4464,44.4,2490,3267,43.3,135.8,210.9,119,226,-32,1535,2202,41.1,559,751,42.7,44,7.3,82,9.8
2023_2024,24,Seattle Kraken,0,29.4,82,34,35,13,81,0.494,214,232,3,4,-0.26,-0.03,2.61,2.83,50,242,20.66,47,222,78.83,6,9,8,8.1,2347,9.1,2391,0.903,5,100,4033,3753,51.8,2763,2796,49.7,155.1,148.1,144,146,-9,1790,1705,51.2,598,583,50.6,46,7.1,52,8.2
2023_2024,16,St. Louis Blues,0,29,82,43,33,6,92,0.561,234,248,5,2,-0.14,-0.01,2.85,3.02,45,250,18,46,215,78.6,11,7,7.4,8.6,2370,9.9,2636,0.906,4,100.4,3469,4088,45.9,2548,3055,45.5,157.5,183.7,151,167,10,1617,1944,45.4,543,680,44.4,54,9,67,9
2023_2024,13,Tampa Bay Lightning,1,29.1,82,45,29,8,98,0.598,288,267,3,1,0.28,0,3.51,3.26,71,248,28.63,39,234,83.33,5,6,11,11,2401,12,2430,0.89,4,99.5,3845,3681,51.1,2674,2653,50.2,167.7,166.6,171,190,-20,1786,1720,50.9,614,622,49.7,69,10.1,74,10.6
2023_2024,10,Toronto Maple Leafs,1,28.9,82,46,26,10,102,0.622,298,261,5,2,0.5,0.01,3.63,3.18,57,238,23.95,55,238,76.89,6,9,9.9,10.2,2671,11.2,2446,0.893,5,100.5,4102,3869,51.5,2942,2781,51.4,191.4,163.7,200,168,4,2005,1816,52.5,734,659,52.7,81,9.9,67,9.2
2023_2024,7,Vancouver Canucks,1,28.6,82,50,23,9,109,0.665,279,221,0,2,0.64,-0.04,3.4,2.7,58,257,22.57,53,254,79.13,7,7,9.6,9.7,2328,12,2343,0.906,7,102.4,3750,3459,52,2666,2540,51.2,168.1,159.1,187,136,42,1737,1593,52.2,613,585,51.2,82,11.8,57,8.9
2023_2024,14,Vegas Golden Knights,1,29,82,45,29,8,98,0.598,263,243,4,2,0.22,-0.05,3.21,2.96,51,252,20.24,44,213,79.34,9,8,7.4,8.5,2548,10.3,2487,0.902,3,100.4,3977,4135,49,2806,2861,49.5,174,164.6,176,163,4,1787,1847,49.2,648,654,49.8,64,9,67,9.3
2023_2024,17,Washington Capitals,1,30,82,40,31,11,91,0.555,216,252,4,5,-0.41,0.04,2.63,3.07,47,228,20.61,49,233,78.97,3,5,7.7,7.4,2172,9.9,2503,0.899,7,99.6,3640,4067,47.2,2518,2923,46.3,150.1,167.1,143,175,-15,1646,1806,47.7,610,637,48.9,63,9.4,69,9.8
2023_2024,4,Winnipeg Jets,1,29.4,82,52,24,6,110,0.671,259,198,0,1,0.69,-0.04,3.16,2.41,45,240,18.75,51,223,77.13,3,5,8.2,8.9,2488,10.4,2429,0.918,8,102.2,3990,3742,51.6,2915,2758,51.4,171.1,161.9,178,121,48,1800,1718,51.2,602,615,49.5,65,9.7,49,7.4
2024_2025,1,Winnipeg Jets,1,29.7,82,56,22,4,116,0.707,275,190,2,1,1.02,-0.03,3.35,2.32,63,218,28.9,41,199,79.4,4,4,7.2,7.9,2313,11.9,2229,0.915,10,102.1,3945,3833,50.7,2877,2790,50.8,165.9,153.2,170,119,38,1772,1690,51.2,617,568,52.1,62,9.1,44,7.2
2024_2025,2,Washington Capitals,1,29.5,82,51,22,9,111,0.677,286,229,2,3,0.66,-0.03,3.49,2.79,52,221,23.53,43,239,82.01,8,7,9.5,8.9,2265,12.6,2229,0.897,3,101.2,3930,3754,51.1,2808,2665,51.3,176.4,163.4,190,159,18,1810,1720,51.3,616,610,50.2,75,10.9,62,9.2
2024_2025,3,Vegas Golden Knights,1,29.4,82,50,22,10,110,0.671,274,214,1,5,0.65,-0.03,3.34,2.61,53,187,28.34,41,169,75.74,6,3,5.6,6.2,2482,11,2141,0.9,6,100.3,4184,3887,51.8,3027,2825,51.7,190.9,158.4,184,155,-4,2011,1797,52.8,673,623,51.9,59,8.1,60,8.8
2024_2025,4,Toronto Maple Leafs,1,29.4,82,52,26,4,108,0.659,267,229,1,2,0.44,-0.01,3.26,2.79,54,218,24.77,52,235,77.87,6,7,8,7.5,2297,11.6,2405,0.905,5,101.7,3685,3976,48.1,2664,2867,48.2,173.6,163,169,136,22,1718,1852,48.1,580,641,47.5,61,9.5,55,7.9
2024_2025,5,Dallas Stars,1,28.5,82,50,26,6,106,0.646,275,222,2,2,0.61,-0.04,3.35,2.71,55,250,22,41,228,82.02,8,4,7,7.8,2325,11.8,2382,0.907,4,101.6,3873,3853,50.1,2700,2870,48.5,175.1,165.8,181,155,17,1818,1823,49.9,640,621,50.8,70,9.9,59,8.7
2024_2025,6,Los Angeles Kings,1,29.4,82,48,25,9,105,0.64,249,203,1,3,0.5,-0.04,3.04,2.48,37,207,17.87,44,237,81.43,4,6,7.8,7.8,2302,10.8,2090,0.903,6,101.5,4137,3546,53.8,2951,2530,53.8,160.6,151.4,177,125,43,1814,1596,53.2,648,549,54.1,69,9.6,51,8.5
2024_2025,7,Tampa Bay Lightning,1,29.7,82,47,27,8,102,0.622,292,216,2,3,0.89,-0.03,3.56,2.63,60,232,25.86,38,206,81.55,11,13,8.1,9.3,2341,12.5,2311,0.907,7,102.1,3885,3723,51.1,2780,2755,50.2,186.5,170.2,186,144,26,1832,1758,51,629,564,52.7,68,9.8,38,6.3
2024_2025,8,Colorado Avalanche,1,28.7,82,49,29,4,102,0.622,273,231,4,3,0.5,-0.03,3.33,2.82,58,234,24.79,42,208,79.81,5,7,6.8,7.2,2451,11.1,2126,0.891,5,99.4,4224,3478,54.8,2927,2503,53.9,183.5,157.9,165,155,-16,1962,1649,54.3,632,577,52.3,59,8.5,69,10.7
2024_2025,9,Edmonton Oilers,1,30.4,82,48,29,5,101,0.616,259,235,0,1,0.26,-0.02,3.16,2.87,51,215,23.72,45,206,78.16,5,4,7.5,7.6,2622,9.9,2211,0.894,4,98.5,4246,3525,54.6,3063,2582,54.3,195.2,162.1,168,172,-37,1983,1693,53.9,694,570,54.9,72,9.4,63,10
2024_2025,10,Carolina Hurricanes,1,29.6,82,47,30,5,99,0.604,266,230,0,3,0.4,0,3.24,2.8,46,246,18.7,40,244,83.61,10,5,7.9,8.1,2599,10.2,2044,0.887,5,98.6,4649,3142,59.7,3271,2383,57.9,182.1,158.9,176,167,-14,2167,1627,57.1,749,570,56.8,56,7,57,9.1
2024_2025,11,Florida Panthers,1,29.6,82,47,31,4,98,0.598,246,223,6,0,0.35,-0.01,3,2.72,56,238,23.53,47,244,80.74,12,10,10.4,9.5,2588,9.5,2146,0.896,8,99.4,4244,3326,56.1,3038,2522,54.6,185.8,144.7,154,139,-26,2005,1536,56.6,719,518,58.1,60,7.7,56,9.8
2024_2025,12,Minnesota Wild,1,29.7,82,45,30,7,97,0.591,225,236,3,3,-0.13,0.01,2.74,2.88,43,206,20.87,56,203,72.41,4,4,7.6,7.5,2263,9.9,2427,0.903,6,100.1,3774,4020,48.4,2695,2893,48.2,155.5,165.3,141,148,3,1673,1756,48.8,553,546,50.3,45,7.5,58,9.6
2024_2025,13,Ottawa Senators,1,28.2,82,45,30,7,97,0.591,242,232,1,2,0.11,-0.01,2.95,2.83,64,269,23.79,51,229,77.73,9,3,8.5,10,2403,10.1,2346,0.901,10,99.1,3808,3703,50.7,2708,2658,50.5,160.2,166.7,139,157,-12,1752,1741,50.2,577,620,48.2,53,8.4,65,9.5
2024_2025,14,Calgary Flames,0,28.4,82,41,27,14,96,0.585,220,236,5,2,-0.17,-0.02,2.68,2.88,49,233,21.03,54,226,76.11,7,6,9.2,9.6,2414,9.1,2372,0.901,5,99.6,4205,3815,52.4,2909,2735,51.5,161,168.8,140,142,6,1842,1812,50.4,642,604,51.5,55,7.9,58,8.8
2024_2025,15,St. Louis Blues,1,29.3,82,44,30,8,96,0.585,250,231,4,2,0.25,-0.01,3.05,2.82,43,195,22.05,49,191,74.35,4,5,7.5,8.2,2185,11.4,2236,0.897,4,101.4,3657,3774,49.2,2560,2697,48.7,169,152.5,175,147,12,1687,1776,48.7,562,608,48,66,10.5,53,8
2024_2025,16,Montreal Canadiens,1,26.9,82,40,31,11,91,0.555,243,261,2,4,-0.23,0.02,2.96,3.18,47,234,20.09,49,257,80.93,9,6,9.3,8.3,2095,11.6,2383,0.89,5,99.7,3681,3951,48.2,2560,2840,47.4,160.1,176,158,181,-7,1774,1932,47.9,572,713,44.5,46,7.4,60,7.8
2024_2025,17,New Jersey Devils,1,29.6,82,42,33,7,91,0.555,240,220,2,2,0.24,-0.01,2.93,2.68,61,216,28.24,39,225,82.67,7,4,8.4,7.5,2303,10.4,2160,0.898,9,99.7,3936,3636,52,2722,2701,50.2,166.7,154.9,149,152,-15,1884,1698,52.6,668,594,52.9,56,7.7,52,8
2024_2025,18,Vancouver Canucks,0,28.6,82,38,30,14,90,0.549,233,251,3,2,-0.22,-0.01,2.84,3.06,50,222,22.52,39,224,82.59,4,7,9.3,9.1,2094,11.1,2198,0.886,5,99.8,3621,3680,49.6,2527,2681,48.5,154,156.7,151,162,-8,1628,1643,49.8,572,568,50.2,61,9.6,56,9
2024_2025,19,Columbus Blue Jackets,0,27.6,82,40,33,9,89,0.543,267,267,6,1,0.06,0,3.26,3.26,36,185,19.46,50,217,76.96,9,7,8.2,7.5,2382,11.2,2453,0.891,4,101.1,3997,4104,49.3,2840,2972,48.9,174,185.4,201,179,33,1801,1973,47.7,663,700,48.6,68,9.3,75,9.7
2024_2025,20,Utah Hockey Club,0,27.7,82,38,31,13,89,0.543,240,247,1,4,-0.11,0.01,2.93,3.01,57,236,24.15,52,251,79.28,4,8,9.6,9.5,2339,10.3,2270,0.891,2,99.7,4174,3567,53.9,2959,2584,53.4,172.7,154.1,158,150,-11,1913,1612,54.3,671,521,56.3,54,7.4,64,10.9
2024_2025,21,Detroit Red Wings,0,29.5,82,39,35,8,86,0.524,235,259,3,0,-0.23,0.02,2.87,3.16,64,237,27,55,184,70.11,2,7,6.8,8.2,2249,10.4,2335,0.889,4,99.6,3724,3934,48.6,2662,2892,47.9,159.8,167.3,143,162,-12,1715,1855,48,563,642,46.7,49,8,47,6.8
2024_2025,22,New York Rangers,0,28.9,82,39,36,7,85,0.518,255,255,1,0,0.01,0,3.11,3.11,37,210,17.62,47,239,80.33,18,7,8.4,7.6,2344,10.9,2451,0.896,9,100.9,3881,3950,49.6,2808,2927,49,164.5,191,180,172,35,1785,1933,48,643,676,48.7,70,9.8,60,8.2
2024_2025,23,New York Islanders,0,29.7,82,35,35,12,82,0.5,222,257,2,3,-0.43,0.01,2.71,3.13,26,207,12.56,50,180,72.22,9,8,5.7,6.5,2418,9.2,2356,0.891,4,99.9,4056,3972,50.5,2903,2842,50.5,176.2,178,162,161,3,1915,1840,51,647,618,51.1,59,8.4,49,7.3
2024_2025,24,Pittsburgh Penguins,0,30.9,82,34,36,12,80,0.488,242,287,1,6,-0.59,0.02,2.95,3.5,57,221,25.79,48,216,77.78,5,5,6.8,7.3,2323,10.4,2470,0.884,3,98.7,4041,3838,51.3,2851,2873,49.8,169.2,183.4,157,195,-24,1849,1930,48.9,656,685,48.9,56,7.9,62,8.3
2024_2025,25,Anaheim Ducks,0,27.4,82,35,37,10,80,0.488,217,261,4,2,-0.49,0.03,2.65,3.18,26,221,11.76,64,248,74.19,3,6,8.9,7.8,2270,9.6,2648,0.901,1,100.7,3763,4325,46.5,2702,3191,45.9,157.8,194.5,156,164,29,1675,2114,44.2,562,698,44.6,56,9.1,71,9.2
2024_2025,26,Buffalo Sabres,0,26.1,82,36,39,7,79,0.482,265,287,4,2,-0.24,0.01,3.23,3.5,43,229,18.78,57,241,76.35,10,8,10.2,9.6,2278,11.6,2368,0.879,3,100.4,3811,3755,50.4,2724,2795,49.4,158.5,181,185,184,24,1753,1915,47.8,588,695,45.8,54,8.4,80,10.3
2024_2025,27,Boston Bruins,0,28.1,82,33,39,10,76,0.463,222,271,0,1,-0.57,0.04,2.71,3.3,35,230,15.22,56,236,76.27,6,13,9.8,9.4,2173,10.2,2346,0.884,7,100.2,3583,3840,48.3,2505,2784,47.4,146.5,165.4,152,164,7,1646,1804,47.7,555,611,47.6,64,10.3,55,8.3
2024_2025,28,Seattle Kraken,0,28.9,82,35,41,6,76,0.463,245,262,2,3,-0.23,-0.01,2.99,3.2,43,227,18.94,44,193,77.2,3,4,7.1,7.9,2242,10.9,2342,0.888,2,99.8,3834,4076,48.5,2764,2967,48.2,152.7,173.6,168,183,6,1676,1859,47.4,565,660,46.1,55,8.9,63,8.7
2024_2025,29,Philadelphia Flyers,0,26.8,82,33,39,10,76,0.463,232,283,6,3,-0.56,0.02,2.83,3.45,32,214,14.95,45,201,77.61,4,10,7.3,7.4,2212,10.5,2210,0.872,3,98.5,3697,3898,48.7,2694,2681,50.1,177.3,162.5,166,195,-44,1748,1777,49.6,610,579,51.3,62,9.2,59,9.2
2024_2025,30,Nashville Predators,0,29.9,82,30,44,8,68,0.415,212,274,2,0,-0.69,0.04,2.59,3.34,50,229,21.83,45,243,81.48,1,5,9.8,9.2,2403,8.8,2342,0.883,4,97.4,3877,3705,51.1,2729,2738,49.9,169.4,170.5,130,190,-59,1812,1811,50,611,564,52,56,8.4,50,8.1
2024_2025,31,Chicago Blackhawks,0,28.1,82,25,46,11,61,0.372,224,292,2,4,-0.83,0.03,2.73,3.56,47,189,24.87,47,227,79.3,6,7,8.6,7.2,2005,11.2,2550,0.885,0,99.3,3346,4118,44.8,2393,3082,43.7,146.6,195.4,150,207,-8,1529,2045,42.8,486,715,40.5,50,9.3,77,9.7
2024_2025,32,San Jose Sharks,0,27.2,82,20,50,12,52,0.317,208,310,2,5,-1.24,0.04,2.54,3.78,42,226,18.58,66,256,74.22,5,8,8.7,8.6,2203,9.4,2606,0.881,1,98.5,3626,4213,46.3,2555,3051,45.6,153.7,189,143,203,-25,1617,1999,44.7,555,690,44.6,53,8.7,71,9.3
